,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
196525,15377291,Trendy Corona Heights Bi-level Condo,1479964,James,,Castro/Upper Market,37.76238,-122.44115,Entire home/apt,210,30,1,27/08/18,0.04,21,36,San Francisco
168889,28226239,mid-century Garden Cottage,80511245,Lucille,,Brentwood-Darlington,45.4656,-122.59832,Entire home/apt,110,5,60,15/03/20,2.87,1,274,Portland
163442,6973983,"3 BR, 2 bath, Spacious & beautiful",6722695,E.J. Blumberg,,Lakeshore,37.81715,-122.23769,Entire home/apt,600,14,20,14/03/20,0.33,13,326,Oakland
198132,26668091,SOMA 1 Bedroom Near near Lyft HQ,48005494,Zeus,,South of Market,37.77703,-122.39696,Entire home/apt,168,30,1,17/08/19,0.08,111,151,San Francisco
35805,20364136,"Merlot remodeled close to airport , Strip and UNLV",145258228,Madel,,Unincorporated Areas,36.13457,-115.12278,Private room,31,1,182,14/08/20,7.67,4,360,Clark County
107072,26125808,Adaline's Retreat in the heart of Nashville,62990324,Alexanderia,,District 15,36.17319,-86.69059,Entire home/apt,250,2,63,16/08/20,2.49,1,30,Nashville
35989,21439400,Quiet/private/clean/free wi-fi (2),143787329,Stuart,,Unincorporated Areas,36.08849,-115.25422,Private room,43,1,275,17/03/20,8.04,3,180,Clark County
113584,24194226,The Heart of NOLA!,182375628,Al & Lesley,,Broadmoor,29.9466,-90.10438,Private room,160,2,18,02/11/19,0.61,1,309,New Orleans
194220,63247,Lovely open plan en-suite bed/bath,290120,Anne,,Mission,37.74926,-122.41398,Entire home/apt,118,2,350,04/09/20,3.35,1,353,San Francisco
87939,25977908,PRIVATE STUDIO 7miles to downtown LA+400mps WiFi,24194655,Grace,Other Cities,Maywood,33.9875,-118.17846,Entire home/apt,49,1,21,15/06/20,0.82,20,336,Los Angeles
141147,23385746,"Private, Nice-Sized Room --Hip West Harlem area!",7718759,Kelly,Manhattan,Harlem,40.82781,-73.94405,Private room,39,1,59,29/12/19,1.95,2,0,New York City
38897,35999966,"PRIVATE ROOM, WITH PRIVATE BATHROOM+ MINI FRIDGE!",15021446,Rayssa,,City of North Las Vegas,36.22513,-115.18698,Private room,65,1,40,31/07/20,2.79,2,304,Clark County
77081,7763615,Stunning Hollywood Hills Home in Celebrity Area!,40826488,Ann,City of Los Angeles,Hollywood Hills,34.13243,-118.34505,Entire home/apt,297,2,10,22/08/20,0.18,1,344,Los Angeles
3518,5570765,Cute Private Room in South Austin Cottage,3745918,Aimy,,78745,30.22329,-97.76926,Private room,125,1,0,,,1,0,Austin
217303,33619782,Quiet modern chic bungalow,100903118,Tiffany,,Ramsey,44.98092,-93.12491,Private room,99,2,2,05/05/19,0.13,1,0,Twin Cities MSA
87391,24922114,Sanitized Bungalow Offering the Best of LA & OC,2328001,Nived,Other Cities,Long Beach,33.86007,-118.1874,Entire home/apt,180,2,46,17/06/20,1.66,1,9,Los Angeles
35336,16633486,"Las Vegas, NV, Tropicana, 1 Bedroom Z #1",10981379,Jan,,Unincorporated Areas,36.0999,-115.21345,Entire home/apt,202,2,0,,,71,90,Clark County
181912,768093,"family friendly, close to the beach",302986,Isabel,,Pacific Beach,32.8073,-117.24181,Entire home/apt,249,5,34,10/08/19,0.4,2,181,San Diego
14721,37184809,Venn | Downtown Crossing | Elegant 2-bd,277913848,Venn,,Chinatown,42.35123,-71.06134,Entire home/apt,261,3,29,09/08/20,2.24,6,152,Boston
33385,42916706,"Chicago 3bed 3bath Condo, Monthly Rentals Welcome",307066703,Hajra,,Jefferson Park,41.96994,-87.76698,Entire home/apt,120,3,0,,,2,33,Chicago
63566,33374472,"Hana Garden Room 1 & 2 night stays, its Perfect!",251430525,Frank,Maui,Hana,20.77864,-156.02503,Private room,195,1,107,15/03/20,6.05,1,357,Hawaii
3369,5380952,2 Bedroom Townhouse - Dog Friendly + Private Yard!,27893214,Goodwin,,78741,30.22092,-97.74561,Entire home/apt,75,2,0,,,1,0,Austin
195129,3377936,Book and Save Fabulous in the Mission Accepting Offers.,17041128,Michelle,,Mission,37.74911,-122.41115,Entire home/apt,155,30,30,26/01/20,0.45,1,0,San Francisco
190990,36210645,"Hotel Z, Z Queen",270119516,Hotel Z,,East Village,32.71115,-117.15794,Private room,109,1,20,15/07/20,2.46,13,106,San Diego
