,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,city
196355,14180539,Spacious Private Bedroom & Skylight,547669,Jamie,,Outer Sunset,37.7572,-122.49858,Private room,70,30,3,31/08/19,0.06,4,365,San Francisco
188841,27902672,Updated Guest House With City Views!,22012010,Patrick,,Pacific Beach,32.80848,-117.23802,Entire home/apt,125,3,28,06/07/20,1.22,40,64,San Diego
158787,42405876,Murray Hill One Bedroom Apt-P,337491638,Ash,Manhattan,Murray Hill,40.74336,-73.97216,Entire home/apt,180,30,0,,,4,179,New York City
134461,17078010,Bushwick apartment (bedroom) right off L train!,1286399,Lauren,Brooklyn,Bushwick,40.70072,-73.91594,Private room,150,1,4,02/01/20,0.09,1,358,New York City
203756,41645656,"3BR/3BA, Beach in walking distance, 20min to Sf",2310061,Hanna,,Pacifica,37.59422,-122.51131,Entire home/apt,290,1,0,,,4,124,San Mateo County
60949,29217621,HO'OLEI #93-2-BEAUTIFULLY APPOINTED VILLA-AC,57940735,Pmi,Maui,Kihei-Makena,20.68317,-156.43897,Entire home/apt,499,4,17,09/03/20,0.92,63,283,Hawaii
135939,18913089,MASTER SUITE in 3 Story Loft in an old BK Church,23568850,Olivia,Brooklyn,Williamsburg,40.71592,-73.95666,Private room,126,3,4,24/09/17,0.1,1,0,New York City
135313,18235200,Cozy Private Bedroom Near LGA,62466309,Paula,Queens,East Elmhurst,40.76518,-73.89182,Private room,50,2,1,02/12/18,0.05,1,37,New York City
133927,16416983,Williamsburg 1 bed Apartment,29456854,Jarrod,Brooklyn,Williamsburg,40.71218,-73.95757,Entire home/apt,128,5,5,06/11/19,0.12,1,64,New York City
171388,15563002,"2 Bedrooms w/Loft & En-Suite Baths, Walk to Harbor",78139874,Chris,Newport,Newport,41.47752,-71.3134,Entire home/apt,225,2,6,26/05/20,0.15,35,350,Rhode Island
209728,27316077,Wa Na Wari Arts Loft Apartment-Entire Apartment,205814540,Inye,Central Area,Mann,47.60983,-122.30079,Entire home/apt,145,1,11,11/11/19,0.93,3,172,Seattle
56082,20440485,Shige & Jane's Molokai Beachfront Condominium 208,50078010,Jane,Maui,Molokai,21.08235,-157.00271,Entire home/apt,130,2,76,22/03/20,2.18,4,254,Hawaii
113123,21962338,French Quarter CBD Casino Area Condo - Balcony!,74907357,Annie,,Central Business District,29.95048,-90.0679,Entire home/apt,90,2,85,08/08/20,2.6,7,272,New Orleans
150421,34857809,Entire Stunning Studio next to Met/Central Park,69433846,Isabelle,Manhattan,Upper East Side,40.77712,-73.96246,Entire home/apt,160,60,7,28/02/20,0.58,1,109,New York City
